FID,PRKID,PRKNAME,PRKADDR,STREETNO,STREETDIR,STREETNM,STREETTYPE,STREETSUFF,CITY,STATE,ZIP,PRKTYPE,PRKSTATUS,PRKDIST,PRKSIZE,PRKPHONE,PRKAGE,PRKADAACC,CITYCOUNCI,BOCC,PRKDATE,USERID,UPSIZE_TS,X,Y,LEASEDID
131,CMGP,CAMP GREENE COMMUNITY PARK,1221 ALLEGHANY ST,1221, ,ALLEGHANY,ST, ,CHARLOTTE,NC,28208,COMMUNITY PARK,DEVELOPED,CENTRAL,27.353,7043531165,0,0,District 3,District 3,1998-07-28T00:00:00.000Z,BLACKSR, ,1435535.9109,546692.185961, 
132,WILM,WILMORE NEIGHBORHOOD PARK,900 SPRUCE ST,900, ,SPRUCE,ST, ,CHARLOTTE,NC,28203,NEIGHBORHOOD PARK,DEVELOPED,CENTRAL,1.271,7043531165,0,0,District 3,District 2,1998-07-28T00:00:00.000Z,BLACKSR, ,1442129.57118,540638.283891, 
133,WING,WINGATE NEIGHBORHOOD PARK,2731 MAYFAIR AV,2731, ,MAYFAIR,AV, ,CHARLOTTE,NC,28208,NEIGHBORHOOD PARK,DEVELOPED,CENTRAL,3.118,7043531165,0,0,District 3,District 2,1998-11-24T00:00:00.000Z,BLACKSR, ,1430094.12522,538449.69929, 
134,COLB,COLONEL FRANCIS J. BEATTY REGIONAL PARK,4330 WEDDINGTON RD,4330, ,WEDDINGTON,RD, ,CHARLOTTE,NC,28105,REGIONAL PARK,DEVELOPED,SOUTH,264.593,7046433405,0,0,District 7,District 6,1998-07-28T00:00:00.000Z,BLACKSR, ,1482797.69568,483905.411422, 
135,WRDP,WILLIAM R. DAVIE REGIONAL PARK,4635  PINEVILLE-MATTHEWS RD,4635, ,PINEVILLE-MATTHEWS,RD, ,CHARLOTTE,NC,28226,REGIONAL PARK,DEVELOPED,SOUTH,106.713,7046433405,0,0,District 7,District 6,2008-05-14T00:00:00.000Z,BLACKSR, ,1460330.63638,492983.22417, 
136,YORK,YORKMONT NEIGHBORHOOD PARK,6417 VICKERS RD,6417, ,VICKERS,RD, ,CHARLOTTE,NC,28217,NEIGHBORHOOD PARK,DEVELOPED,SOUTH,2.665,7045831176,0,0,District 3,District 2,1998-07-28T00:00:00.000Z,BLACKSR, ,1431594.51493,520191.637163, 
137,FLNP,FLAT BRANCH NATURE PRESERVE,TOM SHORT RD,0, ,NO ADDRESS, , ,CHARLOTTE,NC,28277,NATURE PRESERVE,DEVELOPED,SOUTH,42.218, ,0,0,District 7,District 6,2007-02-08T00:00:00.000Z,BLACKSR, ,1462999.58285,476119.321058, 
138,COLL,COLLINS NEIGHBORHOOD PARK,4500 APPLEGATE RD,4500, ,APPLEGATE,RD, ,CHARLOTTE,NC,28209,NEIGHBORHOOD PARK,DEVELOPED,CENTRAL,3.674,7043362884,0,0,District 1,District 5,1998-07-28T00:00:00.000Z,BLACKSR, ,1440891.90235,526281.686032, 
139,AFRM,ALLISON FARM COMMUNITY PARK,21705 SHEARER RD,0, , , , ,HUNTERSVILLE,NC,28078,COMMUNITY PARK,UNDEVELOPED,NORTH,33.642, ,0,0, ,District 1,2008-04-17T00:00:00.000Z,BLACKSR, ,1465637.24177,642387.945329,DAVI
140,WHIT,WHITE COMMUNITY PARK,DAVIDSON-CONCORD RD,0, , , , ,DAVIDSON,NC,28078,COMMUNITY PARK,UNDEVELOPED,NORTH,30.21, ,0,0, ,District 1,2008-04-21T00:00:00.000Z,BLACKSR, ,1469409.55667,621844.834209,DAVI
141,WINT,WINTERFIELD NEIGHBORHOOD PARK,3010 WINTERFIELD PL,0, , , , ,CHARLOTTE,NC,28205,NEIGHBORHOOD PARK,DEVELOPED,SOUTH,13.77, ,0,0,District 5,District 4,2008-04-21T00:00:00.000Z,BLACKSR, ,1472619.60051,535594.486624, 
142,COLN,COLONIAL NEIGHBORHOOD PARK,219 PROVIDENCE RD,219, ,PROVIDENCE,RD, ,CHARLOTTE,NC,28207,NEIGHBORHOOD PARK,DEVELOPED,CENTRAL,2.492,7043362884,0,0,District 1,District 5,1998-07-28T00:00:00.000Z,BLACKSR, ,1455178.71857,535075.133812, 
143,WBNP,WEST BRANCH NATURE PRESERVE, ,0, , , , ,DAVIDSON,NC, ,NATURE PRESERVE,UNDEVELOPED,NORTH,90.721, ,0,0, ,District 1,,BLACKSR, ,1472191.47422,624484.332769, 
144,HAPK,HUNTERSVILLE ATHLETIC COMMUNITY PARK, ,0, , , , ,HUNTERSVILLE,NC, ,COMMUNITY PARK,DEVELOPED,NORTH,74.257, ,0,0, ,District 1,,BLACKSR, ,1450116.55174,602411.641458, 
145,WEPK,ROMARE BEARDEN NEIGHBORHOOD PARK,416 W 3RD ST,0, , , , ,CHARLOTTE,NC,28202,NEIGHBORHOOD PARK,UNDEVELOPED,CENTRAL,4.14, ,0,0,District 2,District 3,2009-04-24T00:00:00.000Z,BLACKSR, ,1448473.78837,542693.227794, 
146,COOK,COOK REGIONAL PARK,ERVIN COOK RD,0, ,NO ADDRESS, , ,CHARLOTTE,NC,28078,REGIONAL PARK,UNDEVELOPED,NORTH,147.148,7048969808,0,0, ,District 1,2005-12-08T00:00:00.000Z,BLACKSR, ,1435428.96839,613626.284382,HUNT
147,MARS,MARSHALL PARK,800 EAST 3RD ST,0, , , , ,CHARLOTTE,NC,28202,SPECIAL FACILITY,DEVELOPED,CENTRAL,5.5, ,0,0,District 1,District 3,2009-04-24T00:00:00.000Z,BLACKSR, ,1450820.48794,540129.386126, 
148,PVLY,PINE VALLEY NEIGHBORHOOD PARK, ,0, , , , ,CHARLOTTE,NC, ,NEIGHBORHOOD PARK,UNDEVELOPED,SOUTH,4.415, ,0,0,District 6,District 2,1899-12-30T00:00:00.000Z,BLACKSR, ,1439074.08796,500887.477476, 
149,LIND,LINDA LAKE NEIGHBORHOOD PARK, ,0, , , , ,CHARLOTTE, , ,NEIGHBORHOOD PARK,UNDEVELOPED,NORTH,9.977, ,0,0,District 5,District 3,1899-12-30T00:00:00.000Z,BLACKSR, ,1484587.97852,548752.538346, 
150,COPP,COPPERHEAD ISLAND,15200 SOLDIER RD,15200, ,SOLDIER,RD, ,CHARLOTTE,NC,28278,NATURE PRESERVE,DEVELOPED,SOUTH,11.212,7045831176,0,0, ,District 1,1998-07-28T00:00:00.000Z,BLACKSR, ,1394440.25999,501026.641929, 
151,ELZA,ELIZABETH NEIGHBORHOOD PARK,1100 E TRADE ST,1100,E,TRADE,ST, ,CHARLOTTE,NC,28204,NEIGHBORHOOD PARK,DEVELOPED,CENTRAL,1.50033, ,0,0,District 1,District 4,1899-12-30T00:00:00.000Z,BLACKSR, ,1452640.74573,539523.495949, 
152,MIDT,MIDTOWN NEIGHBORHOOD PARK,S KINGS DR,0,S,KINGS,DR, ,CHARLOTTE,NC,28204,NEIGHBORHOOD PARK,DEVELOPED,CENTRAL,1.87, ,0,0,District 1,District 4,1899-12-30T00:00:00.000Z,BLACKSR, ,1451659.14737,536784.94908, 
153,CORP,CORDELIA COMMUNITY PARK,2100 N DAVIDSON ST,2100,N,DAVIDSON,ST, ,CHARLOTTE,NC,28205,COMMUNITY PARK,DEVELOPED,CENTRAL,20.894,7043363367,0,0,District 1,District 3,1998-08-12T00:00:00.000Z,BLACKSR, ,1457990.58175,546282.87727, 
